WP, 94, 2025112706,   , BEST,   0,  30N, 1004E,  25, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 94, 2025112712,   , BEST,   0,  26N, 1009E,  30, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 94, 2025112718,   , BEST,   0,  26N, 1018E,  30, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 94, 2025112800,   , BEST,   0,  31N, 1026E,  25, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 94, 2025112806,   , BEST,   0,  37N, 1035E,  30, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 94, 2025112812,   , BEST,   0,  41N, 1043E,  35, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025112818,   , BEST,   0,  46N, 1049E,  35, 1003, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,TRANSITIONED, wpG42025 to wp342025, 
WP, 34, 2025112900,   , BEST,   0,  52N, 1055E,  35, 1003, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025112906,   , BEST,   0,  55N, 1064E,  35, 1003, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025112912,   , BEST,   0,  57N, 1074E,  35, 1004, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025112918,   , BEST,   0,  60N, 1084E,  30, 1006, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025113000,   , BEST,   0,  64N, 1089E,  25, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025113006,   , BEST,   0,  72N, 1093E,  25, 1005, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025113012,   , BEST,   0,  81N, 1099E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025113018,   , BEST,   0,  87N, 1106E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025120100,   , BEST,   0,  90N, 1111E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025120106,   , BEST,   0,  94N, 1118E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
WP, 34, 2025120112,   , BEST,   0,  97N, 1125E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, SENYAR,
Analyzed by 223
